prompt_id,category,removed,n_tokens,n_words,len_ratio,stopped_early,divergence_tok,diverged,prefix_frac,uni_f1,big_f1,distinct_1,distinct_2,distinct_3,loop_onset,looped_frac,ttr,mean_sent_len,py_parse_frac
code_05,code,2,1024,716,1.0,0.0,56,1.0,0.0546875,0.828125,0.7253176930596286,0.123046875,0.22678396871945258,0.27788649706457924,377,0.859375,0.15502793296089384,14.153846153846153,1.0
code_05,code,3,1024,738,1.0,0.0,31,1.0,0.0302734375,0.6796875,0.4496578690127077,0.162109375,0.30791788856304986,0.38454011741682975,519,0.751953125,0.1991869918699187,12.966101694915254,1.0
code_06,code,0,1024,781,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1708984375,0.30791788856304986,0.36007827788649704,460,0.701171875,0.17541613316261204,12.838709677419354,1.0
code_06,code,1,1024,411,1.0,0.0,83,1.0,0.0810546875,0.2431640625,0.1300097751710655,0.3037109375,0.5180840664711632,0.5968688845401174,900,0.2958984375,0.5547445255474452,13.21875,1.0
code_06,code,2,1024,339,1.0,0.0,87,1.0,0.0849609375,0.2724609375,0.1681329423264907,0.1298828125,0.22580645161290322,0.27495107632093935,283,0.798828125,0.31268436578171094,16.285714285714285,1.0
code_06,code,3,1024,375,1.0,0.0,2,1.0,0.001953125,0.189453125,0.051808406647116334,0.1787109375,0.3479960899315738,0.4637964774951076,1024,0.2744140625,0.5333333333333333,18.95,0.2857142857142857
code_07,code,0,1024,490,1.0,0.0,0,0.0,1.0,1.0,1.0,0.3310546875,0.6793743890518084,0.8483365949119374,1024,0.0,0.6204081632653061,6.558139534883721,1.0
code_07,code,1,1024,391,1.0,0.0,171,1.0,0.1669921875,0.4013671875,0.29521016617790813,0.2802734375,0.5141739980449658,0.5753424657534246,787,0.359375,0.5754475703324808,15.307692307692308,1.0
code_07,code,2,1024,668,1.0,0.0,7,1.0,0.0068359375,0.44140625,0.17008797653958943,0.2431640625,0.4633431085043988,0.5401174168297456,665,0.763671875,0.3068862275449102,14.826086956521738,1.0
code_07,code,3,1024,796,1.0,0.0,7,1.0,0.0068359375,0.40625,0.15542521994134897,0.3046875,0.6119257086999023,0.7201565557729941,875,0.3603515625,0.36180904522613067,21.64864864864865,1.0
code_08,code,0,1024,635,1.0,0.0,0,0.0,1.0,1.0,1.0,0.185546875,0.36363636363636365,0.4334637964774951,409,0.6552734375,0.2283464566929134,15.023255813953488,1.0
code_08,code,1,1024,673,1.0,0.0,51,1.0,0.0498046875,0.6328125,0.4838709677419355,0.1767578125,0.3421309872922776,0.4080234833659491,376,0.654296875,0.20950965824665677,9.971428571428572,1.0
code_08,code,2,1024,756,1.0,0.0,0,1.0,0.0,0.3359375,0.10557184750733138,0.1025390625,0.17497556207233628,0.23679060665362034,357,0.90625,0.12433862433862433,15.75,1.0
code_08,code,3,1024,596,1.0,0.0,377,1.0,0.3681640625,0.7763671875,0.6901270772238515,0.18359375,0.33822091886608013,0.39628180039138944,405,0.94140625,0.22483221476510068,15.538461538461538,1.0
code_09,code,0,1024,610,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1416015625,0.21114369501466276,0.22798434442270057,271,1.0,0.16065573770491803,10.879310344827585,1.0
code_09,code,1,1024,597,1.0,0.0,151,1.0,0.1474609375,0.5966796875,0.4222873900293255,0.2138671875,0.4056695992179863,0.5048923679060665,674,0.689453125,0.2847571189279732,11.903846153846153,1.0
code_09,code,2,1024,862,1.0,0.0,11,1.0,0.0107421875,0.291015625,0.18279569892473116,0.1796875,0.29227761485826004,0.324853228962818,506,0.7138671875,0.15661252900232017,16.358490566037737,1.0
code_09,code,3,1024,850,1.0,0.0,11,1.0,0.0107421875,0.310546875,0.21505376344086022,0.181640625,0.2873900293255132,0.3219178082191781,468,0.6904296875,0.16,15.833333333333334,1.0
code_10,code,0,1024,644,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2080078125,0.3978494623655914,0.5342465753424658,836,0.4638671875,0.2826086956521739,10.777777777777779,1.0
code_10,code,1,1024,645,1.0,0.0,55,1.0,0.0537109375,0.78125,0.6656891495601173,0.201171875,0.38807429130009774,0.5313111545988258,746,0.3759765625,0.27906976744186046,10.625,1.0
code_10,code,2,1024,715,1.0,0.0,44,1.0,0.04296875,0.5341796875,0.364613880742913,0.2041015625,0.4398826979472141,0.5724070450097848,915,0.3369140625,0.26713286713286716,11.841269841269842,1.0
code_10,code,3,1024,640,1.0,0.0,321,1.0,0.3134765625,0.771484375,0.6529814271749755,0.1962890625,0.38514173998044965,0.525440313111546,1024,0.3955078125,0.271875,10.227272727272727,1.0
code_11,code,0,1024,630,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2158203125,0.386119257086999,0.4461839530332681,540,0.7509765625,0.2904761904761905,16.512820512820515,1.0
code_11,code,1,1024,763,1.0,0.0,3,1.0,0.0029296875,0.359375,0.10557184750733138,0.2421875,0.533724340175953,0.700587084148728,304,0.1640625,0.29226736566186107,23.875,1.0
code_11,code,2,1024,791,1.0,0.0,2,1.0,0.001953125,0.3779296875,0.11143695014662756,0.2822265625,0.5933528836754643,0.7309197651663405,726,0.1923828125,0.33375474083438683,23.352941176470587,1.0
code_11,code,3,1024,783,1.0,0.0,3,1.0,0.0029296875,0.4296875,0.21896383186705767,0.2197265625,0.42130987292277616,0.5303326810176126,779,0.45703125,0.24648786717752236,14.436363636363636,1.0
code_12,code,0,1024,793,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1533203125,0.26588465298142716,0.324853228962818,409,0.767578125,0.1664564943253468,18.837209302325583,1.0
code_12,code,1,1024,793,1.0,0.0,445,1.0,0.4345703125,0.9765625,0.9608993157380255,0.15234375,0.2649071358748778,0.3238747553816047,409,0.751953125,0.1664564943253468,18.837209302325583,1.0
code_12,code,2,1024,737,1.0,0.0,174,1.0,0.169921875,0.73828125,0.5884652981427175,0.1640625,0.2883675464320626,0.3385518590998043,454,0.9990234375,0.18317503392130258,13.137931034482758,1.0
code_12,code,3,1024,522,1.0,0.0,174,1.0,0.169921875,0.3896484375,0.32649071358748777,0.3427734375,0.6451612903225806,0.8884540117416829,1024,0.109375,0.6245210727969349,2.4136363636363636,1.0
code_13,code,0,1024,821,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1865234375,0.3724340175953079,0.487279843444227,765,0.447265625,0.21559074299634592,22.805555555555557,1.0
code_13,code,1,1024,736,1.0,0.0,288,1.0,0.28125,0.5361328125,0.40078201368523947,0.1630859375,0.31378299120234604,0.3953033268101761,562,0.5556640625,0.19972826086956522,15.659574468085106,1.0
code_13,code,2,1024,617,1.0,0.0,288,1.0,0.28125,0.57421875,0.4574780058651026,0.2041015625,0.4095796676441838,0.5215264187866928,562,0.6162109375,0.2917341977309562,22.142857142857142,1.0
code_13,code,3,1024,784,1.0,0.0,357,1.0,0.3486328125,0.64453125,0.48778103616813295,0.2109375,0.41544477028348,0.5146771037181996,703,0.4697265625,0.24872448979591838,19.6,1.0
code_14,code,0,1024,771,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1943359375,0.34408602150537637,0.3943248532289628,292,0.890625,0.22568093385214008,11.485714285714286,1.0
code_14,code,1,1024,771,1.0,0.0,1024,0.0,1.0,1.0,1.0,0.1943359375,0.34408602150537637,0.3943248532289628,292,0.890625,0.22568093385214008,11.485714285714286,1.0
code_14,code,2,1024,872,1.0,0.0,269,1.0,0.2626953125,0.56640625,0.37341153470185723,0.2900390625,0.6236559139784946,0.7847358121330724,697,0.201171875,0.3348623853211009,17.313725490196077,1.0
code_14,code,3,1024,788,1.0,0.0,14,1.0,0.013671875,0.2939453125,0.05278592375366569,0.1650390625,0.2854349951124145,0.34148727984344424,510,0.6630859375,0.1802030456852792,22.514285714285716,1.0
code_15,code,0,1024,878,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1640625,0.2913000977517107,0.34148727984344424,339,0.755859375,0.16856492027334852,16.641509433962263,1.0
code_15,code,1,1024,707,1.0,0.0,7,1.0,0.0068359375,0.2216796875,0.04007820136852395,0.185546875,0.3831867057673509,0.48532289628180036,466,0.763671875,0.2333804809052334,23.06451612903226,1.0
